City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barcarena,BR,-1.5058,-48.6258,75.25,90,100,9.91,heavy intensity rain
1,Ulladulla,AU,-35.35,150.4667,49.77,83,65,8.14,broken clouds
2,Dingle,PH,10.9995,122.6711,78.12,87,100,8.19,overcast clouds
3,Potsdam,DE,52.3989,13.0657,61.34,40,9,5.3,clear sky
4,Fairbanks,US,64.8378,-147.7164,42.22,69,75,11.5,broken clouds
5,Lagoa,PT,39.05,-27.9833,61.84,77,48,10.94,scattered clouds
6,Acarau,BR,-2.8856,-40.12,79.81,85,100,11.65,moderate rain
7,Heishan,CN,41.6892,122.1128,48.63,46,0,4.5,clear sky
8,Rikitea,PF,-23.1203,-134.9692,76.6,76,88,21.23,overcast clouds
9,Hof,DE,50.3167,11.9167,56.44,72,28,6.91,scattered clouds
10,Port Macquarie,AU,-31.4333,152.9167,46.89,75,0,5.44,clear sky
11,Buala,SB,-8.145,159.5921,80.44,85,100,8.43,moderate rain
12,Cape Town,ZA,-33.9258,18.4232,58.26,80,100,5.99,overcast clouds
13,Mar Del Plata,AR,-38.0023,-57.5575,74.95,61,0,23.02,clear sky
14,Provideniya,RU,64.3833,-173.3,31.98,96,72,7.09,broken clouds
15,Ushuaia,AR,-54.8,-68.3,42.46,65,40,35.68,scattered clouds
16,Mount Isa,AU,-20.7333,139.5,65.97,68,98,6.91,light rain
17,Punta Arenas,CL,-53.15,-70.9167,46.51,66,40,23.02,scattered clouds
18,Tiksi,RU,71.6872,128.8694,-0.26,100,88,4.34,overcast clouds
19,Jamestown,US,42.097,-79.2353,65.52,25,0,3.0,clear sky
20,Nikolskoye,RU,59.7035,30.7861,41.81,88,100,4.5,overcast clouds
21,Saint Anthony,US,45.0205,-93.218,64.45,54,40,17.27,scattered clouds
22,Sitka,US,57.0531,-135.33,49.89,62,40,10.36,scattered clouds
23,Kenai,US,60.5544,-151.2583,48.29,57,0,17.27,clear sky
24,Barrow,US,71.2906,-156.7887,21.22,86,100,12.66,mist
25,Kapaa,US,22.0752,-159.319,79.12,79,20,12.66,few clouds
26,Haines Junction,CA,60.7522,-137.5108,39.99,99,22,2.21,few clouds
27,Fuente De Oro,CO,3.4594,-73.6128,78.01,85,100,1.77,overcast clouds
28,Hobart,AU,-42.8794,147.3294,42.66,88,36,5.75,scattered clouds
29,Bluff,NZ,-46.6,168.3333,49.8,90,97,3.98,overcast clouds
30,Esperance,AU,-33.8667,121.9,60.84,44,5,10.65,clear sky
31,Nome,US,64.5011,-165.4064,32.16,100,100,19.57,snow
32,Saint-Philippe,RE,-21.3585,55.7679,72.99,82,38,7.74,scattered clouds
33,Bontang,ID,0.1333,117.5,78.21,90,85,4.83,light rain
34,Callaguip,PH,18.0714,120.4867,81.21,76,29,4.5,scattered clouds
35,Birin,NP,26.8865,88.0718,61.38,80,64,6.22,broken clouds
36,Saskylakh,RU,71.9167,114.0833,8.13,94,50,12.5,scattered clouds
37,Vestmannaeyjar,IS,63.4427,-20.2734,47.66,95,100,23.22,light rain
38,Jinxiang,CN,27.4327,120.6062,64.0,96,100,4.92,overcast clouds
39,Chokurdakh,RU,70.6333,147.9167,8.73,86,68,7.34,broken clouds
40,Sampit,ID,-2.5333,112.95,74.37,99,100,3.2,moderate rain
41,Victoria,HK,22.2855,114.1577,77.38,78,100,8.01,light rain
42,Busselton,AU,-33.65,115.3333,56.62,82,10,3.09,clear sky
43,Nizhniy Kuranakh,RU,58.8353,125.4869,35.28,99,100,4.81,snow
44,Lompoc,US,34.6391,-120.4579,73.56,56,0,24.16,clear sky
45,Saint-Pierre,RE,-21.3393,55.4781,73.08,73,0,5.75,clear sky
46,Payo,ID,-3.7508,103.6372,75.34,84,99,1.88,overcast clouds
47,Magdagachi,RU,53.45,125.8,41.76,45,97,4.36,overcast clouds
48,Kaeo,NZ,-35.1,173.7833,56.32,95,100,7.0,overcast clouds
49,Atuona,PF,-9.8,-139.0333,78.55,74,7,16.04,clear sky
50,Mataura,NZ,-46.1927,168.8643,49.48,97,99,1.86,overcast clouds
51,Kavaratti,IN,10.5669,72.642,85.08,71,99,14.7,overcast clouds
