City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Barcarena,BR,75.25,heavy intensity rain,-1.5058,-48.6258,Dos Santos Hotel
1,Ulladulla,AU,49.77,broken clouds,-35.35,150.4667,Sandpiper Motel
2,Dingle,PH,78.12,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
3,Potsdam,DE,61.34,clear sky,52.3989,13.0657,Dorint Hotel Sanssouci Berlin/Potsdam
4,Fairbanks,US,42.22,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
5,Lagoa,PT,61.84,scattered clouds,39.05,-27.9833,Casa Das Faias
6,Acarau,BR,79.81,moderate rain,-2.8856,-40.12,castelo pizzaria
7,Heishan,CN,48.63,clear sky,41.6892,122.1128,Heishan Hotel
8,Rikitea,PF,76.6,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Hof,DE,56.44,scattered clouds,50.3167,11.9167,Hotel Burghof
10,Port Macquarie,AU,46.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
11,Buala,SB,80.44,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
12,Cape Town,ZA,58.26,overcast clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
13,Mar Del Plata,AR,74.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
14,Provideniya,RU,31.98,broken clouds,64.3833,-173.3,
15,Ushuaia,AR,42.46,scattered clouds,-54.8,-68.3,Albatross Hotel
16,Mount Isa,AU,65.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
17,Punta Arenas,CL,46.51,scattered clouds,-53.15,-70.9167,Hotel Hain
19,Jamestown,US,65.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
20,Nikolskoye,RU,41.81,overcast clouds,59.7035,30.7861,Tourist House - Sablino
21,Saint Anthony,US,64.45,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
22,Sitka,US,49.89,scattered clouds,57.0531,-135.33,Westmark Sitka
23,Kenai,US,48.29,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
24,Barrow,US,21.22,mist,71.2906,-156.7887,King Eider Inn
25,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Haines Junction,CA,39.99,few clouds,60.7522,-137.5108,Parkside Inn
27,Fuente De Oro,CO,78.01,overcast clouds,3.4594,-73.6128,Urbanización Casabrava
28,Hobart,AU,42.66,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
29,Bluff,NZ,49.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
30,Esperance,AU,60.84,clear sky,-33.8667,121.9,Hospitality Esperance
31,Nome,US,32.16,snow,64.5011,-165.4064,Dredge 7 Inn
32,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
33,Bontang,ID,78.21,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
34,Callaguip,PH,81.21,scattered clouds,18.0714,120.4867,Pangil Beach Resort
35,Birin,NP,61.38,broken clouds,26.8865,88.0718,Sangam hotel and lodge
37,Vestmannaeyjar,IS,47.66,light rain,63.4427,-20.2734,Glamping & Camping
38,Jinxiang,CN,64.0,overcast clouds,27.4327,120.6062,Wolong Village
40,Sampit,ID,74.37,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
41,Victoria,HK,77.38,light rain,22.2855,114.1577,Mini Hotel Central
42,Busselton,AU,56.62,clear sky,-33.65,115.3333,Observatory Guest House
43,Nizhniy Kuranakh,RU,35.28,snow,58.8353,125.4869,Park Pobedy
44,Lompoc,US,73.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
45,Saint-Pierre,RE,73.08,clear sky,-21.3393,55.4781,Alize Plage
46,Payo,ID,75.34,overcast clouds,-3.7508,103.6372,Mess keban agung
47,Magdagachi,RU,41.76,overcast clouds,53.45,125.8,Motopolyana Magdagachi
48,Kaeo,NZ,56.32,overcast clouds,-35.1,173.7833,Bushido Lodge
49,Atuona,PF,78.55,clear sky,-9.8,-139.0333,Villa Enata
50,Mataura,NZ,49.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
51,Kavaratti,IN,85.08,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
52,Port Alfred,ZA,62.47,light rain,-33.5906,26.891,The Halyards Hotel
53,Ekhabi,RU,31.14,snow,53.5102,142.9671,
54,Albany,US,64.92,overcast clouds,42.6001,-73.9662,
55,Saldanha,ZA,57.78,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
56,Kenora,CA,48.78,moderate rain,49.8167,-94.4337,Maynard Lake Lodge
